"","year","artist_name","artist_id","explicit","track_name","track_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","1960",NA,NA,0,NA,NA,0.5498,0.457399,5.03,-11.12766,0.88,0.044423,0.653158,0.0642258255,0.200119,0.672923,117.35732,NA,NA,NA,NA,155654.1,3.77
"2","1961",NA,NA,0,NA,NA,0.5438,0.472666,4.82,-10.8354,0.86,0.051911,0.63873009,0.0904989652,0.223948,0.68394,120.69228,NA,NA,NA,NA,156342.77,3.82
"3","1962",NA,NA,0,NA,NA,0.56281,0.479545,5.12,-10.56187,0.82,0.05635,0.59984307,0.0933780344,0.185776,0.675112,118.91721,NA,NA,NA,NA,160043.66,3.83
"4","1963",NA,NA,0,NA,NA,0.55439,0.52194,5.37,-10.3343,0.83,0.058841,0.5476355,0.063258236,0.249071,0.72189,117.3567,NA,NA,NA,NA,155572.87,3.88
"5","1964",NA,NA,0,NA,NA,0.54548,0.561887,5.06,-9.61221,0.81,0.055147,0.5004454,0.0653387948,0.203258,0.70115,125.44565,NA,NA,NA,NA,155645.11,3.89
"6","1965",NA,NA,0,NA,NA,0.558959183673469,0.584724489795918,4.98979591836735,-9.19126530612245,0.836734693877551,0.0441397959183673,0.405579234693878,0.0515193497959184,0.208007142857143,0.675908163265306,119.404969387755,NA,NA,NA,NA,160676.255102041,3.89795918367347
"7","1966",NA,NA,0,NA,NA,0.571443298969072,0.571381443298969,5.16494845360825,-9.8499793814433,0.855670103092783,0.0443381443298969,0.349738597938144,0.0486677284536082,0.183244329896907,0.70060824742268,118.631515463918,NA,NA,NA,NA,166129.536082474,3.94845360824742
"8","1967",NA,NA,0,NA,NA,0.534935483870968,0.537827956989247,5.40860215053763,-9.94182795698925,0.870967741935484,0.0422387096774194,0.399361290322581,0.0342982459139785,0.230767741935484,0.643784946236559,122.73447311828,NA,NA,NA,NA,172115.516129032,3.90322580645161
"9","1968",NA,NA,0,NA,NA,0.55936,0.53351,4.95,-10.88858,0.78,0.049701,0.3907994,0.0777921985,0.19849,0.658285,121.23958,NA,NA,NA,NA,192539.89,3.94
"10","1969",NA,NA,0,NA,NA,0.553276595744681,0.507989361702128,5.32978723404255,-10.6019361702128,0.734042553191489,0.0460574468085106,0.368852446808511,0.0503529329787234,0.188342553191489,0.651202127659574,113.848425531915,NA,NA,NA,NA,194414.957446809,3.8936170212766
"11","1970",NA,NA,0,NA,NA,0.542464646464646,0.601808080808081,5.6969696969697,-9.92164646464646,0.858585858585859,0.0506242424242424,0.347838878787879,0.0302912387878788,0.190505050505051,0.66650505050505,120.303757575758,NA,NA,NA,NA,206192.323232323,3.94949494949495
"12","1971",NA,NA,0,NA,NA,0.57334,0.542547,4.97,-10.76501,0.73,0.050294,0.4201855,0.0342800152,0.177092,0.68482,116.85984,NA,NA,NA,NA,201610.52,3.96
"13","1972",NA,NA,0,NA,NA,0.57439,0.545654,5.28,-10.67407,0.77,0.060315,0.4271437,0.0450862829,0.200806,0.6514,121.86594,NA,NA,NA,NA,212622.49,3.94
"14","1973",NA,NA,0,NA,NA,0.57863,0.56297,4.91,-10.44836,0.7,0.055983,0.3543693,0.066659613,0.164268,0.69179,123.45514,NA,NA,NA,NA,232578.82,3.87
"15","1974",NA,NA,0,NA,NA,0.59119,0.57576,5.31,-10.60706,0.78,0.055569,0.38265406,0.0478371855,0.194561,0.668383,116.96428,NA,NA,NA,NA,235460.36,3.95
"16","1975",NA,NA,0,NA,NA,0.56273,0.56531,5.22,-10.49344,0.84,0.042783,0.369713851,0.0301158842,0.21811,0.638702,120.81084,NA,NA,NA,NA,232045.41,3.96
"17","1976",NA,NA,0,NA,NA,0.60018,0.60252,5.3,-10.19359,0.78,0.050073,0.3202577,0.049175426,0.182365,0.68223,117.30188,NA,NA,NA,NA,230689.77,3.95
"18","1977",NA,NA,0,NA,NA,0.58022,0.56464,5.09,-10.72274,0.74,0.045292,0.3212203,0.0471290046,0.181997,0.61159,121.04173,NA,NA,NA,NA,243570.96,3.92
"19","1978",NA,NA,0,NA,NA,0.606767676767677,0.565494949494949,5.65656565656566,-9.76716161616162,0.717171717171717,0.0458040404040404,0.305480626262626,0.0106892973737374,0.175178787878788,0.616715151515152,116.678545454545,NA,NA,NA,NA,253219.060606061,3.94949494949495
"20","1979",NA,NA,0,NA,NA,0.635051020408163,0.621734693877551,5.1734693877551,-9.73681632653061,0.76530612244898,0.0462387755102041,0.259063948979592,0.0314782523469388,0.176768367346939,0.687876530612245,121.182683673469,NA,NA,NA,NA,247029.87755102,3.96938775510204
"21","1980",NA,NA,0,NA,NA,0.614171717171717,0.569374747474747,5.11111111111111,-9.94394949494949,0.777777777777778,0.0438131313131313,0.306671296969697,0.0344423231313131,0.165233333333333,0.631589898989899,117.342494949495,NA,NA,NA,NA,246689.828282828,3.93939393939394
"22","1981",NA,NA,0,NA,NA,0.60953,0.5595,5.09,-9.7587,0.73,0.040654,0.29648117,0.0256653573,0.170609,0.584867,123.3662,NA,NA,NA,NA,236278.29,3.96
"23","1982",NA,NA,0,NA,NA,0.617505154639175,0.585901030927835,5.36082474226804,-9.94230927835052,0.77319587628866,0.0392659793814433,0.279760391752577,0.030023672371134,0.203758762886598,0.644790721649485,121.808134020619,NA,NA,NA,NA,233948.515463918,3.97938144329897
"24","1983",NA,NA,0.0103092783505155,NA,NA,0.646896907216495,0.644505154639175,5.18556701030928,-9.11611340206186,0.639175257731959,0.0471680412371134,0.235451510309278,0.0144124427835052,0.161873195876289,0.643413402061856,122.240144329897,NA,NA,NA,NA,249410.319587629,4
"25","1984",NA,NA,0.01,NA,NA,0.671,0.67815,5.37,-9.14966,0.61,0.047597,0.1740147,0.0171221538,0.17834,0.714236,124.86173,NA,NA,NA,NA,256640.79,4
"26","1985",NA,NA,0,NA,NA,0.65089,0.65338,5.28,-9.24966,0.63,0.041126,0.20690153,0.0278294153,0.154087,0.66662,120.11988,NA,NA,NA,NA,260461.37,3.98
"27","1986",NA,NA,0,NA,NA,0.642989690721649,0.629164948453608,4.90721649484536,-10.7432474226804,0.711340206185567,0.042,0.214266463917526,0.0183645353608247,0.171392783505155,0.642368041237113,117.633412371134,NA,NA,NA,NA,263417.412371134,3.98969072164948
"28","1987",NA,NA,0.0101010101010101,NA,NA,0.645272727272727,0.700343434343434,5.32323232323232,-8.42164646464646,0.707070707070707,0.0412848484848485,0.201357606060606,0.0251080508080808,0.131419191919192,0.641414141414141,122.214212121212,NA,NA,NA,NA,256461.161616162,4
"29","1988",NA,NA,0,NA,NA,0.63287,0.66173,5.33,-9.23639,0.73,0.047254,0.18783103,0.0178027614,0.18425,0.62467,119.89427,NA,NA,NA,NA,265171.21,3.96
"30","1989",NA,NA,0,NA,NA,0.61980612244898,0.670091836734694,5.52040816326531,-9.07034693877551,0.683673469387755,0.0490602040816327,0.206321551020408,0.0277416971428571,0.157091836734694,0.5865,123.660734693878,NA,NA,NA,NA,271237.765306122,3.97959183673469
"31","1990",NA,NA,0.0104166666666667,NA,NA,0.648197916666667,0.68059375,4.96875,-8.823875,0.739583333333333,0.0551416666666667,0.155893739583333,0.0154873989583333,0.185209375,0.6035375,118.663333333333,NA,NA,NA,NA,279298.40625,3.97916666666667
"32","1991",NA,NA,0.0204081632653061,NA,NA,0.634418367346939,0.655255102040816,4.60204081632653,-9.87112244897959,0.73469387755102,0.0522418367346939,0.185153367346939,0.0320327906122449,0.167977551020408,0.61305306122449,119.199224489796,NA,NA,NA,NA,269533.653061224,3.98979591836735
"33","1992",NA,NA,0.0202020202020202,NA,NA,0.639171717171717,0.631222222222222,5.65656565656566,-9.3660404040404,0.656565656565657,0.063769696969697,0.176056704040404,0.0251617370707071,0.181559595959596,0.556319191919192,116.22804040404,NA,NA,NA,NA,278794.434343434,3.97979797979798
"34","1993",NA,NA,0.08,NA,NA,0.65199,0.62887,5.61,-9.17531,0.68,0.071359,0.183618532,0.0318963129,0.188465,0.5471,111.37675,NA,NA,NA,NA,269856.39,3.95
"35","1994",NA,NA,0.09,NA,NA,0.63502,0.59903,5.68,-8.84841,0.64,0.076689,0.21665846,0.0096148182,0.178976,0.53796,116.44753,NA,NA,NA,NA,264344.18,3.92
"36","1995",NA,NA,0.103092783505155,NA,NA,0.649134020618557,0.612268041237113,6.01030927835052,-8.39596907216495,0.587628865979381,0.0727536082474227,0.194406016494845,0.0130328954639175,0.1617,0.551089690721649,118.80693814433,NA,NA,NA,NA,268115.360824742,3.94845360824742
"37","1996",NA,NA,0.11,NA,NA,0.65382,0.63537,5.63,-8.12437,0.62,0.073412,0.22655974,0.044603784,0.18055,0.59078,112.84402,NA,NA,NA,NA,270166.71,3.99
"38","1997",NA,NA,0.16,NA,NA,0.66742,0.594905,5.44,-8.20055,0.56,0.077892,0.240925645,0.0288210895,0.150649,0.551479,118.30979,NA,NA,NA,NA,261835.27,3.98
"39","1998",NA,NA,0.193877551020408,NA,NA,0.663071428571429,0.597270408163265,5.10204081632653,-7.80507142857143,0.663265306122449,0.0973612244897959,0.229340510204082,0.00714133040816327,0.195332653061224,0.541330612244898,115.573632653061,NA,NA,NA,NA,265684.051020408,3.95918367346939
"40","1999",NA,NA,0.09,NA,NA,0.6521,0.636004,5.54,-7.0928,0.65,0.080339,0.199771224,0.0105088305,0.16071,0.53777,113.92584,NA,NA,NA,NA,255675.83,3.96
"41","2000",NA,NA,0.117021276595745,NA,NA,0.67381914893617,0.701425531914894,5.51063829787234,-6.20307446808511,0.563829787234043,0.0708606382978723,0.15159320106383,0.0105245323404255,0.140913829787234,0.615163829787234,117.69114893617,NA,NA,NA,NA,245965.957446809,4
"42","2001",NA,NA,0.181818181818182,NA,NA,0.656808080808081,0.689121212121212,5.13131313131313,-5.985,0.606060606060606,0.101724242424242,0.157909666666667,0.00996995636363636,0.171191919191919,0.591090909090909,115.479545454545,NA,NA,NA,NA,246690.646464646,3.97979797979798
"43","2002",NA,NA,0.239583333333333,NA,NA,0.663541666666667,0.707270833333333,5.17708333333333,-5.75155208333333,0.635416666666667,0.112765625,0.150543751041667,0.00730994239583333,0.160575,0.602814583333333,121.338416666667,NA,NA,NA,NA,250837.041666667,3.97916666666667
"44","2003",NA,NA,0.309278350515464,NA,NA,0.665618556701031,0.688463917525773,5.29896907216495,-5.79364948453608,0.56701030927835,0.145958762886598,0.187074865979381,0.00811077371134021,0.175042268041237,0.612818556701031,118.502474226804,NA,NA,NA,NA,255423.87628866,3.94845360824742
"45","2004",NA,NA,0.239583333333333,NA,NA,0.6875625,0.664947916666667,5.17708333333333,-6.14741666666667,0.65625,0.123289583333333,0.182841,0.00299257458333333,0.1654875,0.581897916666667,116.494135416667,NA,NA,NA,NA,248556.552083333,4
"46","2005",NA,NA,0.34,NA,NA,0.67081,0.67222,5.29,-6.10096,0.65,0.134831,0.12356066,0.0040972798,0.17749,0.552907,116.10398,NA,NA,NA,NA,238188.39,3.98
"47","2006",NA,NA,0.29,NA,NA,0.68648,0.68138,4.99,-5.88938,0.59,0.133359,0.11176202,0.0024283922,0.192049,0.558777,114.72533,NA,NA,NA,NA,236881.98,4.01
"48","2007",NA,NA,0.333333333333333,NA,NA,0.661707070707071,0.720626262626263,5.13131313131313,-5.34565656565657,0.606060606060606,0.122727272727273,0.135750387878788,0.00858197343434343,0.185047474747475,0.579141414141414,121.459373737374,NA,NA,NA,NA,247395.838383838,4.03030303030303
"49","2008",NA,NA,0.237113402061856,NA,NA,0.646577319587629,0.717969072164948,5.76288659793814,-5.42037113402062,0.618556701030928,0.0990051546391753,0.116575159793814,0.0121347744329897,0.178849484536082,0.526807216494845,123.664958762887,NA,NA,NA,NA,237076.87628866,4.03092783505155
"50","2009",NA,NA,0.164948453608247,NA,NA,0.621639175257732,0.731948453608247,5.34020618556701,-5.04075257731959,0.701030927835051,0.0920360824742268,0.125941795876289,0.00536977587628866,0.188263917525773,0.529411340206186,127.786711340206,NA,NA,NA,NA,241165.226804124,4
"51","2010",NA,NA,0.181818181818182,NA,NA,0.625848484848485,0.753121212121212,5.36363636363636,-4.79321212121212,0.646464646464647,0.10340404040404,0.11266275959596,0.00327530777777778,0.214722222222222,0.555352525252525,115.896404040404,NA,NA,NA,NA,231014.757575758,4.06060606060606
"52","2011",NA,NA,0.262626262626263,NA,NA,0.625868686868687,0.754737373737374,5.6969696969697,-5.04358585858586,0.707070707070707,0.0941212121212121,0.110589656565657,0.00227775515151515,0.198186868686869,0.539957575757576,126.948858585859,NA,NA,NA,NA,233974.434343434,4
"53","2012",NA,NA,0.191919191919192,NA,NA,0.648969696969697,0.738414141414141,5.05050505050505,-5.11955555555556,0.616161616161616,0.0856363636363636,0.111185585858586,0.0023009597979798,0.195475757575758,0.563454545454545,125.730232323232,NA,NA,NA,NA,224161.929292929,3.98989898989899
"54","2013",NA,NA,0.129411764705882,NA,NA,0.622894117647059,0.736011764705882,5.48235294117647,-5.23428235294118,0.588235294117647,0.0874776470588235,0.11183928,0.00936299752941177,0.204077647058824,0.530165882352941,122.918270588235,NA,NA,NA,NA,232906.917647059,4.01176470588235
"55","2014",NA,NA,0.232323232323232,NA,NA,0.643020202020202,0.684434343434343,5.95959595959596,-5.71436363636364,0.666666666666667,0.0836646464646465,0.14187595959596,0.0093132004040404,0.166650505050505,0.514216161616162,123.76902020202,NA,NA,NA,NA,228163.565656566,3.98989898989899
"56","2015",NA,NA,0.125,NA,NA,0.658431818181818,0.703988636363636,5.43181818181818,-5.39515909090909,0.590909090909091,0.0785272727272727,0.165407375,0.000269298181818182,0.1901875,0.538853409090909,122.125954545455,NA,NA,NA,NA,217524.261363636,3.96590909090909
